fecha,Internacional_count,Nacional_count,paginas_totales,proporcion_total,proporcion_ajustada,deportes,estrellas,familia,internacional_x,loteria,modelo_x,noticias,opinion,publicidad externa,publicidad interna,reportajes,variedades,chipi_presente,deportes_seccion,estrellas_seccion,familia_seccion,internacional_seccion,loteria_seccion,modelo_seccion,noticias_seccion,opinion_seccion,publicidad externa_seccion,publicidad interna_seccion,reportajes_seccion,variedades_seccion,year_x,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional_y,modelo_portada,especial,publicidad,modelo_y,palabras_titulo,palabras_st,envio_total,cobrable,devuelto,vendido,day,month,year_y,region,titulo,subtitular,contraportada,id
2022-01-12,4.0,2.0,28.0,1440.0,51.43,2.83,5.33,2.8,3.0,0.0,0.0,4.12,2.0,2.0,0.0,0.0,2.0,1.0,6.0,3.0,5.0,2.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,1.0,2022.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,96641.0,94237.0,10609.0,83628.0,Thursday,December,2022.0,nacional,madrugan para conseguir espacio en la escuela,padres de familia hacen largas filas para inscribir a sus hijos en el ciclo escolar 2023,deporte,120122nacional
2022-01-13,3.0,2.0,25.0,1270.0,50.8,2.2,2.67,2.0,3.0,0.0,0.0,2.75,0.5,0.0,0.0,0.0,3.0,1.0,5.0,3.0,3.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,2022.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,11.0,97767.0,95362.0,8600.0,86762.0,,,,,,,,
2022-01-14,2.0,2.0,21.0,1130.0,53.81,3.2,3.5,1.0,2.5,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,5.0,2.0,2.0,2.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,1.0,2022.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,97151.0,94743.0,6747.0,87996.0,,,,,,,,
2022-01-15,3.0,3.0,26.0,1410.0,54.23,3.5,2.5,3.67,4.0,0.0,0.0,4.22,1.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,3.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,2.0,2022.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,96670.0,93056.0,8522.0,84534.0,,,,,,,,
2022-01-16,3.4,2.0,24.8,1372.0,55.63,3.44,3.93,2.47,3.6,0.0,0.0,3.69,1.4,1.4,0.0,0.5,1.6,0.6,5.4,3.4,2.6,1.4,0.2,0.0,7.0,1.6,0.8,0.0,0.8,1.6,2022.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,100311.0,98480.0,6831.0,91649.0,,,,,,,,
2022-01-17,4.0,2.0,29.0,1560.0,53.79,2.83,3.5,3.33,3.0,0.0,0.0,3.78,2.0,0.0,0.0,1.5,2.75,1.0,6.0,2.0,3.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,2.0,4.0,2022.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,105193.0,102795.0,4492.0,98303.0,,,,,,,,
2022-01-18,4.0,1.0,24.0,1180.0,49.17,3.8,3.4,2.33,3.0,0.0,0.0,3.5,1.0,0.0,0.0,0.0,1.5,1.0,5.0,5.0,3.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,2022.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,12.0,101239.0,98770.0,6831.0,91939.0,,,,,,,,
2022-01-19,5.0,0.0,25.0,1340.0,53.6,3.8,4.33,2.67,3.0,0.0,0.0,3.62,0.0,0.0,0.0,0.0,3.0,1.0,5.0,3.0,3.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,2022.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,10.0,97041.0,94583.0,11466.0,83117.0,,,,,,,,
2022-01-20,3.0,2.0,26.0,1420.0,54.62,3.2,3.5,2.0,3.0,0.0,0.0,3.8,1.0,2.5,0.0,0.0,2.0,0.0,5.0,2.0,3.0,1.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,1.0,2022.0,5.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,98437.0,95986.0,8744.0,87242.0,,,,,,,,
2022-01-21,4.0,0.0,25.0,1300.0,52.0,3.2,3.0,2.67,3.0,0.0,1.0,3.5,0.5,1.0,0.0,0.0,0.5,1.0,5.0,2.0,3.0,1.0,0.0,1.0,8.0,2.0,1.0,0.0,0.0,2.0,2022.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,14.0,101271.0,98889.0,9314.0,89575.0,,,,,,,,
2022-01-22,2.8,1.8,20.4,1086.0,54.71,2.9,2.7,1.98,2.6,0.0,0.0,4.35,0.9,0.0,0.6,0.0,1.7,0.6,4.4,2.6,2.8,1.4,0.0,0.0,6.4,1.2,0.0,0.2,0.0,1.4,2022.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,11.0,96572.0,92756.0,8429.0,84327.0,,,,,,,,
2022-01-23,2.0,2.0,25.0,1440.0,57.6,2.6,3.5,4.0,4.0,0.0,0.0,3.11,1.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,3.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,2.0,2022.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,14.0,100179.0,98338.0,8254.0,90084.0,,,,,,,,
