id,titulo,subtitular
011422occidente,velan a padre y a sus dos hijas,hoy daran sepultura en san cristobal totonicapan a victimas de accidente ocurrido en xela
011422centro,exigen seguridad,locatarios del mercado de la antigua guatemala denuncian robos
011422sur,reparan calle,"via en san isidro se encuentra en el abandono desde hace 30 anos, en cotapeque"
011422norte,se quejan de alza,"amas de casa crucenas senalan que canasta basica aumenta, y no pueden comprar mas"
011422oriente,honran al cristo negro,vecinos y visitantes celebran este fin de semana en esquipulas
011422guate,sicarios iban en moto,"edwin moises alvarado conducia su vehiculo cuando fue asesinado en la avenida del cementerio, en la zona 3"
011522nacional,vivos de milagro,desemprendimiento de paredon cae sobre dos albaniles en mixco
011522occidente,sepultan a padre e hijas,victimas fallecieron en accidente en xela
011522guate,intenta defenderse,"michael ovando discute con hombres y luego lo asesinan en la colonia montserrat I, zona 4 de mixco"
011622nacional,veneran al cristo negro,fieles hacen romeria a la basilica de esquipulas
011722nacional,camionetazo,"bus cae en barranco y perecen 5 pasajeros, en sumpango, sacatepequez"
011722occidente,cantan los gallos,"shecanos consiguen sus primeros tres puntos en el inicio del torneo clausura, en san pedro sacatepequez"
011722centro,estudiaran en casa,alumnos continuaran recibiendo clases de forma virtual en la antigua guatemala
011722sur,empieza la ilusion,"cotapeque gana 1-0 en casa a xinbajul, en el inicio del clausura 2022"
011722norte,despiden a migrante,"rodrigo bol acepto irse al norte, al ser convencido que pagaria despues y murio en mexico"
011722oriente,se lucen en casa,sanarate fc comienza torneo con triunfo 1-0 frente a comunicaciones
011722guate,rueda el balon,"aurora fc igualo frente a sacachispas, en el partido que abrio el torneo clausura 2022 de la primera division"
011822nacional,abren juicio contra perez y baldetti,exfuncionarios son acusados de recibir sobornos millonarios en el caso la linea
011822occidente,avanza proyecto,asfaltan tramo carretero que conduce de aldea rancho de teja hacia momostenango
011822centro,atacado en robo,"antonio morales fue enganado y agredido con la cacha de una pistola, en la antigua guatemala"
011822sur,carro lo arrolla,"auto impacta vehiculo que conducia menor, quien quedo herido en la calzada, alvaro arzu, en coatepeque"
011822norte,bloquean carretera,vecinos protestan en el km 204 por constantes apagones que afectan sus negocios
011822oriente,iban a su casa,"madre iba junto a su hijo y queda herida al ser arrollados en la reforma, zacapa"
011822guate,esperan acuerdo,"inquilinos del mercado municipal siguen sin firmar contrato de arrendamiento de puestos, en san raymundo"
011922nacional,mareros siembran terror en las trojes,pobladores cierran comercios tras masacre de cuatro personas en amatitlan
011922occidente,reparan ruta hacia la frontera,"comienzan trabajos para mejorar la red vial en huehuetenango, por presion de transportistas"
011922centro,tendran brigada forestal,"capacitan a socorristas para atender siniestros en bosques, en chimaltenango"
011922sur,reparan calle,"vecinos de la esperanza, en coatepeque, mejoran 900 metros de su acceso principal"
011922norte,exigen iluminacion,"residentes del caserio placa 1, en entre rios, senalan que transitar a oscuras causa tragedias"
011922oriente,agua se contamina,basura que arrastra el canal de riego de zacapa afecta a vecinos de el mitch y la fragua
011922guate,lo dejan atado,"encuentran cuerpo de un hombre con senales de violencia en el km 22 de la carretera al pacifico, villa nueva"
012022nacional,estalla coheteria,"muere una persona y otras dos quedan heridas, en parravos, chimaltenango"
012022occidente,construiran hospital,atencion sera para pacientes con problemas visuales y auditivos en chiantla
012022centro,aumentan cobro,tasa municipal sera mas alta para duenos de comercios que cierren despues de las 800 pm
012022sur,cerdo se atraveso,"conductor herido de gravedad luego de percance vial en san vicente pacaya, coatepeque"
012022norte,asesinan a empleado municipal,ataque ocurrio cuando compraba en una carniceria en la cabecera de sayaxche
012022oriente,muere arrollado,tragio accidente de adulto mayor ocurrio en esquipulas
012022guate,solo quedan recuerdos,"demolicion del estadio del ejercito, sede de infinidad de eventos deportivos y de todo tipo, causa nostalgia"
012122nacional,atacan a choferes,mareros disparan a mansalva contra tres tuctuqueros en la zona 18 de la capital
012122occidente,doloroso recuerdo,"a un ano de la masacre de migrantes en tamaulipas, mexico, familiares honran a sus seres queridos"
012122centro,muere padre e hijo,"ambos limpiaban camion cuando se desconecto y los prenso, en santa maria de jesus"
