id,titulo,subtitular
032922norte,pesca de 16 libras,dora alvizures pesco una chopa por la que gano q250 en sayaxche
032922oriente,extorsiones en aumento,la policia batalla contra los pandilleros en el progreso
032922guate,viven con temor,taxistas y pilotos en el milagro mixco aseguran que son victimas de al menos tres grupos criminales
033022nacional,la matan al azar,marero confeso que debia cumplir crimen y su victima fue una empleada bancaria
033022occidente,peligro,vecinos de la zona 5 de huehuetenango temen salir de casa porque los perros callejeros han mordido a varios ninos
033022centro,les propinan paliza,pobladores golpean a hombres tras causar choque en santa apolonia
033022sur,lo acababan de encontrar,randy escobar fue asesinado a balazos en colombia
033022norte,proyectos de peso,reciben a primeros pacientes del centro de salud nutricional en puerto barrios
033022oriente,le disfiguran el rostro,un cortador de melon fue encontrado sin vida en un basurero de huite zacapa
033022guate,trabajan en antiguo camino,con la ampliacion de la ruta en la aldea sajcavillas san juan sacatepequez mas de 1500 vecinos mejoraran su movilizacion
033122nacional,operativo contra mareros salvadorenos,fuerzas de seguridad de guatemala vigilan la frontera
033122occidente,eterna construccion,vendedores de tacos ofrecen el producto en locales a medio terminar en comitancillo
033122centro,sin espacio para ventas,aumentan puestos de venta en mercado la terminal de chimaltenango y comuna sin proyecto para construir nuevo edificio
033122sur,no esperan al gobierno,vecinos construyen por su cuenta puesto de salud en san isidro robles coatepeque
033122norte,prohiben uso de trasmallo,sambenitenses requieren de licencia para pesca artesanal en lago peten itza
033122oriente,va a juicio por matar a su gemelo,posible disputa de terreno origino la pelea mortal
033122guate,convierten paso en basurero,vecnios en lo de bran III mixco estan preocupados y molestos de que cada dia el vertedero se hace mas grande
040122nacional,combate a mareros en la frontera,persecucion ha empujado a los pandilleros de barrio 18 a huir a guatemala
040122occidente,peligro por pilotos ebrios,aumento de accidentes en las rutas aledanas al canton yerba buena preocupa a lugarenos en tacana
040122centro,sobrevive a caida de 75 metros,arena amortigua el golpe de mujer que recolectaba lena en el rosario
040122sur,festejan 102 aniversario,maestros de pajapita exaltan a su municipio al conmemorar su fundacion
040122norte,peligro en el puente,paso peatonal pone en riesgo de asaltos y accidentes a portenos
040122oriente,iba a ser papa,no concera a su primer hijo tras sufrir accidente
040122guate,accidente afecta a miles,cierre parcial de la ruta al atlantico dura casi 10 horas vecinos de zonas 17 18 24 y 25 tardan mas de la cuenta en llegar a sus destinos
040222nacional,lobos del aire,drones de la policia han contribuido a la captura de criminales
040222occidente,destapan un hoyo para tapar otro,vecinos denuncian que trabajo de alcantarillados los dejo sin agua hace 25 dias en san pedro sacatepequez san marcos
040222guate,vigilan a criminales,equipo de monitoreo en lo de fuentes mixco ha filmado cuatros asaltos este ano hechos que ya investiga la pnc
040322nacional,piden perdon de rodillas,pobladores de santa cruz del quiche azotan a involucrados en desaparicion de joven
040422nacional,caos en la autopista,recorridos en carreteras son de horas en los dias previos a la semana santa
040422occidente,aqui hacemos la verdadera sheca,rosa perez tiene 30 anos de preparar el delicioso y tradicional pan en el canton tuismil tacana san marcos
040422centro,rescate de 30 minutos,bomberos hacen uso de equipo hidraulico para poner a salvo a luis arturo gomez tras chocar contra trailer en pastores
040422sur,ni la primera piedra esta,un ano despues sigue sin construirse el juzgado de paz de san pablo
040422norte,se activa el comercio ,no es semana santa y ya llegaron varios turistas a destinos de flores y puerto barrios
040422oriente,la ultima llamada,un hombre fue asesinado tras recibir una llamada para ir a una discoteca en teculutan
040422guate,estreno de semana santa,con el paso de cortejo procesional el miercoles santo sera inaugurada la nueva fachada de la comuna mixquena
040522nacional,al servicio del crimen,taxistas sin autorizacion son denunciados por asaltos y otros por transportar armas droga y hasta cadaveres
040522occidente,les ponen limite,autoridades piden a fleteros no sobrecargar picops para evitar percances en san francisco el alto
040522centro,agua llega tres horas al dia,distribucion de liquido a hogares de chimaltenango es irregular ante llegada de verano
040522sur,los pintan y no los reparan,baches en la ruta a la blanca solo fueron marcados
040522norte,lloran muerte de futbolista,jugadores de san benito fc lamentan la perdida de kevin veliz
040522oriente,lo dejan en pozo,piloto de 24 anos desaparecido el viernes fue encontrado muerto
040522guate,preparan andas,miembros de la hermandad de jesus del aposento y senor sepultado en mixco se alistan para sus cortejos de semana santa
040622nacional,capturado se escondia en el pais,lider de la mara 18 escapo de el salvador para refugiarse en la zona 5
040622occidente,vuelven al cuadrilatero,luego de dos anos vecinos se enfrentaran a puno limpio en chivarreto
040622centro,sin agua por seis dias,fuga en tuberia obliga a suspender servicio en cinco zonas de chimaltenango
040622sur,puente da miedo,urge cambio de tablones y barandales de paso de hamaca en concepcion melendrez pajapita
040622norte,luz verde para turismo,autorizan comercio en playa punta de palma puerto barrios
040622oriente,crean basurero en el campo de la feria,recolectores la tiran al escenario al aire libre en chiquimula
040622guate,molestia por obra a medias,comuna sanjuanera sigue sin concluir pavimentacion en la comunidad de zet afectando a mas de 10 mil vecinos
040722nacional,te pido que cuides a mis hijos,muere segundo bombero forestal que quedo atrapado en incendio
040722occidente,afectados por bloqueos,comerciantes se echan la carga al hombro y caminan kilometros por protesta de salubristas en cuatro caminos totonicapan
040722centro,iba en palangana de picop,mujer fallece al volcar vehiculo en el kilometro 905 de tecpan guatemala
040722sur,volvera el tren,en ayutla arranca la primera fase de conexion ferroviaria entre mexico y guatemala
040722norte,cada gota vale,piden no desperdiciar el agua porque en verano escasea en flores y san benito
040722oriente,lo dejan entre el cafetal,encuentran a trabajador dentro de un costal de gualan
040722guate,afecta a cientos de familias,basurero clandestino en las arcadia I y II de carranza san juan sacatepequez es un problema sin resolver
040822nacional,duerme con los muertos,capturan por segunda vez a enrique paredes por profanar tumbas en el cementerio de chicacao suchitepequez
040822occidente,abandonan camioneta,piloto y acompanante huyen luego de volcar en carretera en tejutla
040822centro,sobrevaloran compra,comuna de tecpm guatemala invierte mas de 14 millones para adquirir maquinaria y mejorar caminos rurales
040822sur,enganados,pese a la gestion de vecinos no habra mejora de ruta a coatepeque
040822norte,preven inundaciones,entrenan casa contr alegaciones en aldea quineles puerto barrios
040822oriente,vendian droga,una mujer y dos hombres fueron detenidos tras allanamientos en san antonio la paz
040822guate,exigen que los cumplan,trabajadores de salud en san juan sacatepequez espera que las demandas del gremio en todo el pais sean atendidas
040922nacional,capturan a riki martin,repartidor de gas es senalado por nino de haberlo violado
040922occidente,peligro en el gancho,cinco accidentes se reportan a diario entre los kilometros 225 y 275 de la ruta a la costa de san marcos
040922guate,necesidad y tradicion,desde hace varios anos walter chajon y su familia en san juan sacatepequez fabrican ramos para el inicio de la semana santa y asi ganar un poco de dinero
041022nacional,jesus nazareno del consuelo,procesion de la recoleccion recorre las calles del centro historico
041122nacional,atrapados en las carreteras,conozca los distintos sectores del pais donde ocurren congestionamientos que pueden atrasar su viaje
041122occidente,reabren comercios,vendedores instalan sus ventas en el parque despues de dos anos
041122centro,nazareno de los antiguenos,procesion de la resena de jesus nazareno de la merced derrama bendicion sobre su pueblo
041122sur,mojarras al gusto,criadores esperan aumento de ventas esta semana
041122norte,epoca de ganancias extras,vendedores esperan incremento de ventas por visita en veraneantes
041122oriente,el muro contendra inundaciones,doce anos despues terminan obra que evitara deslaves en invierno
041122guate,retoman tradicion,vendedores abarrotan alrededores de parroquias para la celebracion del domingo de ramos e iniciar asi semana mayor
041222nacional,unidos contra pandillas,ministros de guatemala y el salvador se reunen para coordinar la guerra contra los mareros
041222occidente,precio de pasaje se mantiene,buses de toto a xela no subiran tarifa durante la semana
041222centro,aumentan precio al pasaje,transporte urbano de chimaltenango incrementa de q1 a q2 a la tarifa
041222sur,feria del pan,mas de 100 vendedores reciben a clientes de toda la region esta semana santa
041222norte,joven cae en tonel y muere,trabajaba en construccion para ayudar en su casa
041222oriente,incendio nocturno,extinguieron las llamas antes de que llegaran al aserradero del manzanotal
041222guate,sugieren comprar verduras,ante el alza en la carne comerciantes mixquenos ponen a disposicion de los vecinos otros productos mas economicos
041322nacional,13 anos clamo por su mama,maria se perdio en la capital cuando tenia 9 anos ayer ambas se reencontraron en baja verapaz
041322occidente,prostituia a menores,la policia rescata a dos adolescentes en un bar
041322centro,calvario de siete kilometros,transito se complica en la ruta interamericana por semana santa
041322sur,epoca para visitar a la familia,aprovechan descanso para viajar a su terruno y salir de paseo
041322norte,falla el robo de moto,delincuentes disparan para escapar y matan a una persona
041322oriente,otra vez sin juez,familia de melissa palacios debera esperar seis meses para buscar justicia
041322guate,hermandad concluye tarea,esta noche se llevara a cabo el traslado del anda de jesus nazareno de la iglesia de san juan en san juan sacatepequez
041422nacional,muere en la cola,en fila de vehiculos de 13 kilometros intenso calor causa muerte de enfermo renal
041422occidente,viajan hasta ocho horas,keily y su hijo trasbordaron tres buses para visitar a su familia en san marcos
041422centro,honor al nazareno en san felipe,peregrinacion de imagen por el centro historico fue de ocho horas
041422sur,quiere ganas llegar a la frontera,por tumulos deterioro y afluencia vehicular 50 kilometros se recorren hasta en tres horas
041422norte,embiste a fontanero,conductor huye tras arrollar a trabajador que iba en su bicicleta
041422oriente,solo me tome dos tragos,trailero maneja bolo y casi atropella a quienes estaba en orilla de la carretera
041722nacional,se salva de morir en la cruz,hombre se salva de tocar cables del tendido electrico durante viacrucis
041822nacional,kilometricas colas,veraneantes sufren por congestionamientos al volver de sitios turisticos en semana santa
041822occidente,pasan penas para regresar,pasajeros esperaron horas para abordar bus en terminal de san marcos
041822centro,la tumba esta vacia,catolicos de la antigua guatemala y chimaltenango celebran la resurreccion de jesus
041822sur,el pasaje sale caro,cobros arbitrarios en buses afectaron a usuarios en retorno a hogares
041822norte,vencio a la muerte,fieles de izabal y peten acompanan a jesus resucitado luego de dos anos
041822oriente,no recogen la basura,vacacionistas dejan huella en las orillas del rio grande
041822guate,cierran semana mayor con alegria,catolicos en diferentes localidades acuden a sus parroquias para participar en las actividades de resurreccion
041922nacional,golpiza por robar par de zapatos,ladron pide perdon luego de ser capturado
041922occidente,mariguana entre la milpa,la policia erradico una plantacion valorada en casi q7 millones en momostenango
041922centro,hundidos en la basura,visitantes dejan sus desechos en varios puntos de chimaltenango
041922sur,recuperan empedrado,vecinos se organizan y arreglan un kilometro de carretera en ingreso a la aldea
041922norte,muchos turistas y poca venta,comerciantes lamentaron quedarse con tanto producto
041922oriente,se acaban los bosques,frecuencia de incendios forestales consterna a las autoridades
041922guate,unen esfuerzos,vecinos trabajan para instalar red de drenajes en la aldea llano de la virgen san raymundo
042022nacional,caceria de mareros,autoridades han detenido a 16 delincuentes que huyeron de el salvador
042022occidente,4 veces mas fuego,aumentaron los incendios forestales esta temporada en totonicapan
042022centro,rina por vaca,comprador senala que le vendieron el animal enfermo y pidio devolucion de dinero
042022sur,diez anos sin reparacion,escuela sufrio danos por sismo y salones deben ser demolidos
042022norte,sueno lo traiciona,choca contra otro trailer y copiloto muere en los amates
042022oriente,queda prensado,hombre de 28 anos fue el mas afectado en esta colision que dejo seis heridos
042022guate,ayudan al projimo,personas con discapacidades de san pedro sacatepequez recibieron sillas de ruedas para facilitar su movilidad
042122nacional,llega en defensa y tambien la capturan,mujer fue detenida cuando intentaba salva a su hijo de la aprehension de la policia
042122occidente,46 menores desaparecidos,preocupa alta cifra de alertas alba keneth activadas en lo que va del ano
042122centro,apagan incendio,siniestro duro cuatro dias y afecto 30 hectareas de propiedad en dos fincas en el tejar
042122sur,40 anos sin electricidad,caserio villa hermosa ii espero por servicio basico
042122norte,sacan basura del rio,por decimo ano consecutivo jovenes recogen desechos que dejan visitantes en verano
042122oriente,se seca el rio,las altas temperaturas estan secando el riachuelo que abastece a varios barrios
042122guate,pestilencia afecta a vecinos,drenaje que colapso en la zona de san juan zacatepequez tardara al menos cuatro dias en ser reparado segun la comuna
042222nacional,muere por visitar a su novia,joven fue advertido antes de semana santa de que no llegara a el limon zona 18
042222occidente,usan energia solar,mas de 6 mil vecinos reciben agua gracias a tecnologia en pozos en sibinal
042222centro,vuelan a francia,artistas sumpangueros se presentaran en encuentro internacional de cometas
042222sur,cruzan la frontera para trabajar,cada dia mas de un centenar de chapines aprovechan oportunidades en mexico
042222norte,dominan la pesca,certificaran conocimientos de pescadores de livingston
042222oriente,alarma violencia sexual contra menores,de 11 casos en el departamento 2 han dejado a ninas embarazadas
042222guate,preparadas para emprender ,mas de 600 mujeres sanjuaneras concluyen capacitacion en distintas areas para crear sus propios negocios
042322nacional,querian vender nino en q500,capturadas compradora y vendedora de menor
042322occidente,todos hijos o todos entenados,comerciantes alegan igualdad y piden que mercado atienda los domingos en chiantla
042322guate,entregan casas,suman seis los sobrevivientes de tuberculosis en san juan sacatepequez beneficiados por fundacion y comuna
042422nacional,encuentran muerto a exabogado de pappa,estaba en su celda se sospecha que fue por sobredosis de drogas
042522nacional,torturaban a nino,madre y su pareja van a la carcel mientras menor se recupera en hospital
042522occidente,vuelven las carreras,mas de dos mil atletas participan en la 10k en honor al patrono san marcos
042522centro,fuerzas especiales contra delincuentes,policia y el ejercito realizan operativos en cinco municipios de chimaltenango
042522sur,no se pueden ni esquivar,baches abundan en calle del cementerio en coatepeque
042522norte,600 comidas al dia,comedor brinda alimentos a precios economicos en puerto barrios
042522oriente,lo alcanza la justicia,sospechoso de asesinar a una anciana y herir a otra mujer en 2021 fue capturado por la pnc
042522guate,sin espacio para mas muertos,cementerio general esta abierto solo para sepelios en nichos privados mientran continuan las exhumaciones por falta de pago
042622nacional,asesinada mientras preparaba cena,encapuchados matan a madre de familia en su cocina
042622occidente,se derrumba la calle,primeras lluvias causan danos en san sebastian huehuetenango
042622centro,construiran colector de agua,luego de desentrampar litigio de unos 12 anos proyecto se hara realidad y buscaria prevenir inundaciones
042622sur,del nacimiento a sus casas,tras 40 anos de espera vecinos de luisiana mejor se organizan para contar con agua potable
042622norte,agua al alcance,instalaran tuberia en mas de 260 viviendas del caserio la caobita san luis
042622oriente,diez anos de peste,150 familias son afectadas por drenajes rotos que causan un rio de aguas negras
042622guate,fallan tragantes,un dia despues del colapso en el ingreso al aeropuerto la aurora trabajadores ediles retiran seis quintales de basura
042722nacional,lo desnudan por extorsionar,pobladores entregan a la policia a joven que exigio dinero para no publicar fotos intimas de mujer
042722occidente,pierde el control y cae a barranco,joven taxista queda inconsciente al momento del percance
042722centro,20 anos de inundaciones,sin finalizar instalacion de tubos para desfogue de agua pluvial en la alameda
042722sur,otro invierno entre charcos,vecinos de san isidro esperan mejora vial desde hace mas de 50 anos
042722norte,crater ya no luce tan azul,turistas dejan lleno de basura uno de los santuarios de sayaxche
042722oriente,van 1472 hecatareas quemadas,rio hondo perdio mas bosque en lo que va del ano que en todo el 2021
042722guate,remodelacion millonaria,primera fase de proyecto municipal de mixco supero los q500 mil mientras se desconoce el monto de inversion en las otras
042822nacional,camino a la nueva normalidad,permiten regreso a clases fortalecer reactivacion economica actividades sociales y uso estricto de mascarilla solo en municipios en rojo
042822occidente,ultimada de balazo,comerciante martha gonon fue asesinada en su abarroteria
042822centro,pasaje aumenta a q2,usuarios del transporte urbano deben pagar mas para movilizarse al centro de chimaltenango
042822sur,contaminacion ahuyenta a turistas,rio naranjo arrastra basura a la playa
042822norte,proteja su salud,estorenos aprovechan vacunacion para fortalecerse
042822oriente,triple colision,mujer muere tras choque de moto trailer y picop
042822guate,planifican construccion,proyecto del puente belice ii se convertiria en una nueva ruta de acceso entre la ciudad capital y la ruta al atlantico
042922nacional,extorsionaba y hacia brujeria,detienen a banda encabezada por exintegrante de barrio 18 que amenzaba a comerciantes y transportistas
042922occidente,choca cuatro carros,nina de 3 anos resulta herida en accidente causado por camion descontrolado
042922centro,no habra rebaja,precio del pasaje para la capital se mantiene en q20 y el autorizado es de q10
042922sur,vacunas a domicilio,salubristas atenderan a menores en sus casas para completar esquema de vacunacion
042922norte,evitaran inundaciones,canal servira para prevenir inundaciones en ciudad portena
042922oriente,impacta a familia,nina de 7 anos murio tras el impacto de un camion
042922guate,sigue atencion de emergencia,hospital nacional de especialidades de villa nueva solo alberga a pacientes con covid 19
043022nacional,rescatada despues de un mes,bebe fue robada en mixco y ubicada en mexico
043022occidente,dara cobijo a mas de 900 vendedores,construccion de mercado kaibil balam va viento en popa en huehuetenango
043022guate,luchan por territorio,enfrentamientos entre pandilleros tienen atemorizados a vecinos en boca del monte villa canales
050122nacional,turba evita violacion de nina,la amenazaba con un desarmador para llevarsela
050222nacional,casa del terror,hombre toca a la puerta y dispara contra familia nina muere en su cama
050222occidente,gallos y leones estan en semis,equipos de san marcos se acercan al objetivo de conquistar el ascenso a la liga mayor
050222centro,fuerza de la lluvia rompe drenaje,dano en tuberia afecta a 3 mil familias de san juan comalapa
050222sur,riesgo por crecidas,caudal de tres rios podria poner en peligro a pobladores durante el invierno
050222norte,tragedia en carretera,segunda victima muere en serie de accidentes en puerto de santo tomas de castilla
050222oriente,sobrevive a tres operaciones,agradecen por nina de 10 anos quien fue operada tres veces en menos de 45 dias
050222guate,termina en calvario,por fin recibiran agua en hogares de canalitos zona 24 donde se rehabilita un pozo que beneficiara a mas de 14 mil vecinos
050322nacional,feliz dia del albanil,gracias por plasmar paciencia y creatividad en las edificaciones
050322occidente,roba celular a nino,vecinos capturan y vapulean a hombre que asalto a menor de 8 anos en chiantla
050322centro,celebran a la santa cruz,santa cruz balanya corona a su reina y disfruta de fiesta titular
050322sur,celebran su dia echando punta,albaniles organizan sus jornadas para convivir y entregar obras a tiempo
050322norte,santos del encanto,hermanos llevan flores frescas y economicas a las iglesias de morales
050322oriente,pugna por vertedero,municipalidad en disputa con el supuesto dueno del terreno
050322guate,celebran su dia,en honor a la santa cruz los albaniles tendran hoy un momento para adornar su lugar de trabajo y disfrutar de pequena convivencia
050422nacional,disparan contra la pnc y se rinden,pandilleros no tuvieron mas que entregarse al ser acorralados
050422occidente,aumenta violencia,este ano van 256 denuncias por agresion contra mujeres indigenas en san marcos
050422centro,se hunde la calle,filtracion de agua de lluvia afecta a tres familias en san pedro yepocapa
050422sur,cisterna los alivia,danos en tuberia afecta servicio de distribucion de agua para mil usuarios
050422norte,invitan a pescadores,todo esta listo para torneo internacional en el rio la pasion sayaxche
050422oriente,ataque armado,mecanico quedo grave tras ser victima de una emboscada
050422guate,honran al nino dios,vecinos expresan su devocion y ruegan por bendiciones en la parroquia san juan bautista y el parque central de amatitlan
050522nacional,no sabia que eran dos,madre y bomberos se sorprenden por el nacimiento de nino y nina en ambulancia
050522occidente,calles en abandono,vecinos temen que en invierno el paso se vuelva intransitable
050522centro,con las manos en la masa,samuel rucuch intentaba saquear tortilleria en tecpan y fue capturado en el momento
050522sur,ingresos adicionales,restaurantes esperan aprovechar aforo ilimitado de personas
050522norte,mas personas van al norte,la casa del migrante atiende a diario a 60 personas y sirven mas de 80 platos de comida
050522oriente,listos para recibir el invierno,distintas autoridades alistan municipios para el inicio de la lluvia el 11 de mayo
050522guate,el martirio de los semaforos,algunos ayudan a agilizar el transito sin embargo en varios puntos pareciera todo lo contrario lo cual a diario hace sufrir a ciento de conductores
050622nacional,dejan todo por huir de pandilleros,pobladores de retalhueleu y suchitepequez buscan refugio en quetzaltenango
050622occidente,ebrio causa accidente,una menor resulto herida en triple choque
050622centro,llegan los tuctucs electricos,alemania dona 9 triciclos que serviran para transportar a estudiantes de san juan comalapa
050622sur,estudian en el corredor,maestros recaudan fondos para construir aula en escuela urbana
050622norte,danan la vida silvestre,incendios forestales y caceria ilegal afectan en peten
050622oriente,asesinatos impunes,del total de femicidios registrados desde 2008 solo el 29 cuentan con condenas
050622guate,afluente se ahoga,el rio villalobos es un foco de contaminacion a su paso por villa canales debido a la basura y aguas residuales
050722nacional,abuela prostituyo a menor de 14 anos,separo a nieta de sus papas para ofrecerla a estructura que dirigia una conserje del ministerio publico
050722occidente,sin una gota de agua,familias llevan tres semanas sin servicio por taponamiento de tuberia en san marcos
050722guate,entre luz y sombras,falta de infraestructura y violencia ha frenado por anos el desarrollo de ciudad quetzal en san juan sacatepequez
050822nacional,11 veces capturado,se le ha sindicado de plagio o secuestro robo homicidio asociacion ilicita robo agravado y obstruccion a la justicia
050922nacional,lluvia de balas les arrebata la vida,criminales atacan a seis amigos en un parque y solo dos sobreviven
050922occidente,el otro domingo se define,xinbajul logra un valioso empate en el estadio de san pedro
050922centro,se le cruzo un carro,familia que iba en un picop queda con lesiones tras colision en la ruta de tecpan guatemala
050922sur,calvario infernal,lodazales en tramo sin mantenimiento dificultan paso a cuatro comunidades rurales
050922norte,cae sexto mecanico,detienen a otro integrante de banda de secuestradores en ciudad portena
050922oriente,arruinan el paisaje,belleza de la ruta a las verapaces esta manchada por un vertedero clandestino
050922guate,larga espera en horas pico,ingresos a la capital se convierten en parqueos temporales de transporte de carga para que el transito fluya
051022nacional,amor sin limites,mamas canguro salvan a bebes prematuros o bajos de peso
051022occidente,reina de las carreteras,julia cano es una de las cuatro madres que destacamos en este dia dedicado a ellas
051022centro,marimba para las madres,fidel funes y su marimba orquesta ofrece concierto en san andres iztapa
051022sur,de todo para mama,comerciantes ofrecen variedad de regalos para agasajarla en su dia
051022norte,senalizan cruce peligroso,pintan rotonda para evitar accidentes hacia santo tomas de castillas
051022oriente,perdio su casa,quemaba basura y agarro fuego su vivienda murieron sus tres perros
051022guate,les da amor de madre,desde hace mas de 20 anos karen rodas le brinda mas que un hogar a ninos y ninas que lo necesitan
051122nacional,triste dia de la madre,violencia intrafamiliar y criminal deja luto en tres hogares en uno de ellos el asesino le llevo rosas a su victima luego la mato y finalmente el se suicido
051122occidente,lo deja inconsciente,conductor que no respeto paso de cebra golpea a peaton que le reclamo
051122centro,entre flores y regalos,visitan cementerios de la region para recordar a sus seres queridos en el dia de la madre
051122sur,mantiene tradicion,en memoria de su mama irnieo vasquez recorre a pie 20 km para festejar a vecinas
051122norte,dejan caos en su paso,gondolas ocasionan 7 muertes este ano en el cruce al puerto de santo tomas de castilla
051122oriente,recibe condena,piloto de bus responsable de 22 muertes en diciembre de 2019 recibio 10 anos de prision
051122guate,odisea al volante,transito se complica en la carretera a el salvador al inhabilitarse el carril reversible que agilizaba la salida de la capital
051222nacional,se hace pasar por muerta para sobrevivir,mujer queda viva despues de que fue golpeada por varios hombres y arrojada a barranco
051222occidente,nadie la recuerda,tumba de juana barrios impulsora del dia de la madre no recibio ningun adorno
051222centro,se complica la salida de antigua,cuatro meses durara la construccion de un colector en la ruta a ciudad vieja
051222sur,obra sin terminar,vecinos de el caracol temen quedar incomunicados en invierno por falta de puente
051222norte,paso peligroso,repararan puente de el corozo para evitar mas accidentes de motoristas y peatones
051222oriente,destapan tragantes,los drenajes que conducen a la aldea la palmilla estan siendo preparados para el invierno
051222guate,prueban unidades,comienzan segunda fase de plan piloto de la linea 5 del transmetro el primer proyecto de movilidad electrica en el pais
051322nacional,capturado despues de machetear a mujer,victima forcejeo con carlos peralta quien intento despojarla de sus pertenencias
051322occidente,no pagan manutencion,dos de cada cinco denuncias al dia son contra padres irresponsables
051322centro,guarida de ladrones,tras un ataque armado encuentran armas y motos usadas para delinquir
051322sur,toman acciones ante asaltos y extorsiones,patrullajes parecen ser insuficientes para que cese criminalidad en magnolia
051322norte,dificulta el traslado,lancheros piden reparar anillo externo porque afecta turismo en lago peten itza
051322oriente,violo a adolescente,hombre de 21 anos es capturado por hecho ocurrido en febrero contra menor de 13 anos
051322guate,luchan para salir a flote,la lluvia arrastra mas basura al lago de amatitlan por lo que aumentan los esfuerzos para contrarrestar los danos por la contaminacion
051422nacional,mas de 150 menores retornados desde mexico,la mayor cifra de rescatados de las garras de coyotes en su camino a estados unidos
051422occidente,se deshacen de mobiliario obsoleto,mas de 3 mil escuelas de san marcos seran beneficiados con cambio de pupitres
051422guate,asaltos continuan,segun usuarios la ruta express naranjo en mixco es la mas peligrosa por lo cual agentes de la policia municipal acompanan durante el recorrido
051522nacional,les pagan con la misma moneda,dos supuestos ladrones fueron abatidos a balazos cuando asaltaban a clientes de negocios en utatlan zona 11
051622nacional,le dieron gato por liebre,expolicia entrego a timadores q5  mil que le servirian para la medicina de su esposa le ofrecieron una barra de oro que resulto ser metal
051622occidente,galon llega a q43.79,huehuetecos se quejan por alto costo de gasolina mientras diaco no se preocupa
051622centro,entregaran hospital,para noviembre se tiene previsto que este el edificio del hospital de chimaltenango
051622sur,hacen coperacha,vecinos de san isidro se organizan para cambiar tuberias deterioradas
051622norte,satelite cae en el estor,encuentran artefacto en sector montanoso de selempim
051622oriente,termino en la basura,agricultor sin identificar quedo muerto en un vertedero tras discusion en feria
051622guate,cada vez hay mas carros,al retomar las actividades cotidianas los capitalinos prefieren movilizarse de manera independiente segun medicion del flujo vehicular
051722nacional,le queman su casa y la acusan de bruja,pobladores amenazan a mujer con lincharla si no le quita el mal que padece una recien casada
051722occidente,fallece don vides,locutor y cantante huehueteco muere junto a tres personas mas al embarrancarse picop
051722centro,maestros exigen contratos,docentes esperan respuestas mientras que la dideduc pide cumplir con requisitos
051722sur,estrenaran parque,avanza construccion de plaza central a inaugurar a fin de ano
051722norte,cuide donde estaciona,reportan aumento de robo de motocicletas en flores
051722oriente,estaba apagado,camion deja 15 mil dolares en perdidas tras prender en llamas
051722guate,abandonados a su suerte,mas de 20 mil personas de lomas azacualpilla palencia carecen de atencion medica por cierre de puesto de salud hace cuatro anos
051822nacional,matan a dj por una cancion,baile patronal termina cuando un hombre acciona su pistola al no ser complacido con repetir una melodia
051822occidente,reviven las aulas,cinco mil estudiantes regresan a clases presenciales en la cabecera
051822centro,pierde el control del picop,tres lesionados dejo un accidente ocurrido en el kilometro 108 de tecpan
051822sur,tome vias alternas,durante cuatro meses construiran el paseo santiago a un costado de la parroquia
051822norte,calle de ingreso danada,autoridades portenas buscan soluciones para reparar la carretera principal
051822oriente,ya se puede pasar,el puente sobre el rio las canas esta habilitado
051822guate,reanudan ruta,la 40r cambia a express santa marta y traslada a los pasajeros desde el municipio mixqueno hasta el obelisco
051922nacional,compran camion en redes sociales y los matan,esposos y abuela son emboscados cuando fueron citados para recoger el vehiculo tres ninos sobreviven
051922occidente,agua llega por ratos,hogares de barrio san sebastian padecen problema desde hace un ano
051922centro,entregaran escuela,400 estudiantes de diferentes jornadas seran beneficiados con la remodelacion de la escuela jose ignacio ortiz videz en la antigua guatemala
051922sur,retumbos en escuela,piden revisar terreno donde se asienta centro educativo de san isidro
051922norte,ensena mas alla de las aulas,el maestro rafael retana implemento un huerto para que los moralenses aprenden a cultivar
051922oriente,vertederos proliferan,ante la carencia de sanciones personas arruinan el ornato de chiquimula
051922guate,por fin los escuchan,mejoran ruta de ingreso a los eucaliptos en san miguel petapa que por anos afecto a cientos de vecinos
052022nacional,firmes contra las extorsiones,capturan a 31 supuestos delincuentes entre ellos 21 mujeres
052022occidente,se cansan de asaltos,comerciantes y transportistas se organizan para garantizar seguridad
052022centro,habilitan paso a desnivel,esperan reducir embotellamientos en ingreso a san lucas
052022sur,llegan empapados,conductores no pueden ni esquivar lagunetas por mal estado de la 9a avenida
052022norte,taxi sube a q8,la gremial decide aumentar el precio por carrera en ciudad portena
052022oriente,le abrieron la cabeza,hombre sin identificar ingresado al hospital tras ser encontrado cerca de una piedra con su sangre
052022guate,desechos contaminan,exponerse a enfermedades y soportar la pestilencia del rio villalobos es parte del diario vivir de familias en playa de oro san miguel petapa
052122nacional,comen almejas de la muerte,padre e hija perecen mientras cinco familiares mas fueron hospitalizados al sufrir intoxicacion alimenticia
052122occidente,necesitan inmueble,cruz roja de san marcos lleva diez anos atendiendo en contenedores
052122guate,flagelo continua,uno de cada dos ninos menores de 5 anos sufre de desnutricion cronica en san juan sacatepequez
052222nacional,violadores capturados,por varios anos abusaron de su victima
052322nacional,volviste juanita,recobra su libertad y regresa a su pais despues de estar presa injustamente 7 anos en mexico
052322occidente,encontronazo de camiones,conductores resultan heridos y son hospitalizados
052322centro,se sale de carril y choca con trailer,conductor pega de frente contra cabezal en la ruta nacional a inmediaciones de pastores
