Texto_Relevancia,Texto_Impacto,Texto_Rigor_Etica_Profesional,Texto_Coyuntura,Texto_Penetracion,Fotografia_Impacto,Fotografia_Variedad_Fotos,Fotografia_Composicion,Fotografia_Comunica,Fotografia_Puesta_En_Pagina_Fotos,PeriodicosID,Fecha,Ventas,Calificacion_avg,envio_total,cobrable,devuelto,vendido
6,7,7,6,7,7,6,6,5,5,44,28/08/24,"Q153,258.00",6.2,68701,66198,15112,51086
10,10,9,10,8,10,9,9,8,9,44,28/08/24,"Q153,258.00",9.2,68701,66198,15112,51086
8,7,8,7,7,8,8,9,9,8,44,28/08/24,"Q153,258.00",7.9,68701,66198,15112,51086
7,7,8,7,7,7,7,8,8,8,44,28/08/24,"Q153,258.00",7.4,68701,66198,15112,51086
8,9,10,10,8,9,9,9,9,9,44,28/08/24,"Q153,258.00",9,68701,66198,15112,51086
9,10,9,9,10,10,10,9,10,9,44,28/08/24,"Q153,258.00",9.5,68701,66198,15112,51086
7,6,7,5,5,8,8,7,5,7,45,30/07/24,"Q183,747.00",6.5,69198,66597,5348,61249
5,6,5,3,5,8,8,6,5,5,45,30/07/24,"Q183,747.00",5.6,69198,66597,5348,61249
10,10,10,10,10,10,10,10,10,10,45,30/07/24,"Q183,747.00",10,69198,66597,5348,61249
9,9,10,10,9,9,10,9,8,9,45,30/07/24,"Q183,747.00",9.2,69198,66597,5348,61249
8,6,6,6,7,9,10,10,10,10,45,30/07/24,"Q183,747.00",8.2,69198,66597,5348,61249
