Texto_Relevancia,Texto_Impacto,Texto_Rigor_Etica_Profesional,Texto_Coyuntura,Texto_Penetracion,Fotografia_Impacto,Fotografia_Variedad_Fotos,Fotografia_Composicion,Fotografia_Comunica,Fotografia_Puesta_En_Pagina_Fotos,PeriodicosID,Fecha,Ventas,Calificacion_avg,envio_total,cobrable,devuelto,vendido
10,9,9,10,8,9,10,8,9,10,2,26/10/23,"Q182,529.00",9.2,74418,72112,11269,60843
10,10,9,10,10,10,10,10,10,9,2,26/10/23,"Q182,529.00",9.8,74418,72112,11269,60843
9,9,8,9,9,8,7,9,9,10,2,26/10/23,"Q182,529.00",8.7,74418,72112,11269,60843
9,8,8,7,9,8,7,6,8,8,2,26/10/23,"Q182,529.00",7.8,74418,72112,11269,60843
8,7,8,7,6,7,8,8,8,7,2,26/10/23,"Q182,529.00",7.4,74418,72112,11269,60843
9,10,10,9,9,10,9,10,10,10,2,26/10/23,"Q182,529.00",9.6,74418,72112,11269,60843
10,10,10,10,9,10,10,10,9,10,2,26/10/23,"Q182,529.00",9.8,74418,72112,11269,60843
10,10,10,10,10,10,10,10,10,10,2,26/10/23,"Q182,529.00",10,74418,72112,11269,60843
9,9,9,9,9,9,7,7,7,6,2,26/10/23,"Q182,529.00",8.1,74418,72112,11269,60843
10,10,10,10,10,10,10,10,10,10,2,26/10/23,"Q182,529.00",10,74418,72112,11269,60843
8,10,10,10,10,10,9,10,9,10,2,26/10/23,"Q182,529.00",9.6,74418,72112,11269,60843
6,6,6,6,6,7,7,7,7,7,2,26/10/23,"Q182,529.00",6.5,74418,72112,11269,60843
9,9,9,9,9,9,8,8,9,8,2,26/10/23,"Q182,529.00",8.7,74418,72112,11269,60843
10,10,10,10,10,9,10,9,9,10,2,26/10/23,"Q182,529.00",9.7,74418,72112,11269,60843
9,9,10,9,9,10,10,10,10,10,2,26/10/23,"Q182,529.00",9.6,74418,72112,11269,60843
6,8,7,8,7,7,6,6,6,7,2,26/10/23,"Q182,529.00",6.8,74418,72112,11269,60843
9,9,9,10,9,10,10,9,10,10,2,26/10/23,"Q182,529.00",9.5,74418,72112,11269,60843
10,9,10,10,10,10,10,10,10,10,2,26/10/23,"Q182,529.00",9.9,74418,72112,11269,60843
10,9,9,9,9,9,9,9,9,9,3,25/01/23,"Q233,568.00",9.1,93632,88937,11081,77856
9,9,9,9,9,9,9,9,9,10,3,25/01/23,"Q233,568.00",9.1,93632,88937,11081,77856
9,8,7,8,9,10,10,8,9,8,3,25/01/23,"Q233,568.00",8.6,93632,88937,11081,77856
8,9,9,8,9,10,10,10,10,10,3,25/01/23,"Q233,568.00",9.3,93632,88937,11081,77856
6,6,8,9,8,8,8,8,8,7,3,25/01/23,"Q233,568.00",7.6,93632,88937,11081,77856
7.6,8,7,6,7,9,8,7,8,8,3,25/01/23,"Q233,568.00",7.56,93632,88937,11081,77856
9,9,9,9,9,9,9,9,9,9,3,25/01/23,"Q233,568.00",9,93632,88937,11081,77856
9,10,9,10,8,9,10,10,10,10,3,25/01/23,"Q233,568.00",9.5,93632,88937,11081,77856
9,8,9,9,7,8,9,8,9,8,3,25/01/23,"Q233,568.00",8.4,93632,88937,11081,77856
10,9,9,8,9,8,7,9,9,10,3,25/01/23,"Q233,568.00",8.8,93632,88937,11081,77856
9,9,9,9,9,8,8,9,8,8,3,25/01/23,"Q233,568.00",8.6,93632,88937,11081,77856
10,10,9,10,10,10,10,9,10,9,3,25/01/23,"Q233,568.00",9.7,93632,88937,11081,77856
9,7,9,7,8,9,7,8,9,8,3,25/01/23,"Q233,568.00",8.1,93632,88937,11081,77856
9,10,9,9,10,10,10,10,9,9,3,25/01/23,"Q233,568.00",9.5,93632,88937,11081,77856
10,9,9,9,7,9,9,9,9,9,3,25/01/23,"Q233,568.00",8.9,93632,88937,11081,77856
4,2,1,2,5,5,5,4,2,4,3,25/01/23,"Q233,568.00",3.4,93632,88937,11081,77856
10,10,10,10,10,10,10,10,10,10,3,25/01/23,"Q233,568.00",10,93632,88937,11081,77856
8,6,8,8,7,7,10,9,10,10,3,25/01/23,"Q233,568.00",8.3,93632,88937,11081,77856
6,5,4,9,6,7,6,9,8,6,3,25/01/23,"Q233,568.00",6.6,93632,88937,11081,77856
10,10,10,9,9,9,10,10,9,10,3,25/01/23,"Q233,568.00",9.6,93632,88937,11081,77856
10,10,10,10,10,10,10,10,10,10,3,25/01/23,"Q233,568.00",10,93632,88937,11081,77856
9,8,8,9,8,8,7,7,7,7,3,25/01/23,"Q233,568.00",7.8,93632,88937,11081,77856
10,10,10,10,10,10,10,10,10,10,3,25/01/23,"Q233,568.00",10,93632,88937,11081,77856
10,10,10,10,10,10,10,10,10,10,3,25/01/23,"Q233,568.00",10,93632,88937,11081,77856
7,7,7,7,7,7,7,7,7,7,3,25/01/23,"Q233,568.00",7,93632,88937,11081,77856
10,10,10,10,10,10,10,10,10,10,3,25/01/23,"Q233,568.00",10,93632,88937,11081,77856
10,10,10,10,10,10,10,10,10,10,3,25/01/23,"Q233,568.00",10,93632,88937,11081,77856
10,10,10,10,10,10,10,10,10,10,3,25/01/23,"Q233,568.00",10,93632,88937,11081,77856
8,8,7,8,8,7,8,8,7,8,3,25/01/23,"Q233,568.00",7.7,93632,88937,11081,77856
10,9,10,10,9,10,10,9,10,10,3,25/01/23,"Q233,568.00",9.7,93632,88937,11081,77856
10,10,10,10,10,10,10,10,10,10,3,25/01/23,"Q233,568.00",10,93632,88937,11081,77856
9,9,9,9,9,9,9,9,9,10,4,23/05/23,"Q205,062.00",9.1,77707,75406,7052,68354
10,10,9,10,9,10,9,8,8,8,4,23/05/23,"Q205,062.00",9.1,77707,75406,7052,68354
7.2,10,8,9,7,5,3,2,1,4,4,23/05/23,"Q205,062.00",5.62,77707,75406,7052,68354
8.6,7,7,7,7,8,8,9,9,9,4,23/05/23,"Q205,062.00",7.96,77707,75406,7052,68354
9,8,7,6,8,8,9,8,8,8,4,23/05/23,"Q205,062.00",7.9,77707,75406,7052,68354
9,9,8,8,9,9,9,8,8,9,4,23/05/23,"Q205,062.00",8.6,77707,75406,7052,68354
8,10,9,8,10,10,9,10,10,10,4,23/05/23,"Q205,062.00",9.4,77707,75406,7052,68354
7,7,8,8,7,8,8,7,8,7,4,23/05/23,"Q205,062.00",7.5,77707,75406,7052,68354
7,7,7,7,6,6,6,7,8,8,4,23/05/23,"Q205,062.00",6.9,77707,75406,7052,68354
9,10,9,10,8,9,7,7,9,7,4,23/05/23,"Q205,062.00",8.5,77707,75406,7052,68354
9,9,8,10,8,10,9,9,9,9,4,23/05/23,"Q205,062.00",9,77707,75406,7052,68354
10,10,10,10,9,10,10,10,10,10,4,23/05/23,"Q205,062.00",9.9,77707,75406,7052,68354
10,10,10,9,10,9,9,9,10,10,4,23/05/23,"Q205,062.00",9.6,77707,75406,7052,68354
8,8,7,8,8,7,7,7,7,7,4,23/05/23,"Q205,062.00",7.4,77707,75406,7052,68354
10,10,10,10,10,10,10,10,10,10,4,23/05/23,"Q205,062.00",10,77707,75406,7052,68354
10,10,10,10,10,9,10,9,10,9,4,23/05/23,"Q205,062.00",9.7,77707,75406,7052,68354
7,6,6,6,6,7,6,6,6,6,4,23/05/23,"Q205,062.00",6.2,77707,75406,7052,68354
7,8,8,7,7,7,7,7,7,7,4,23/05/23,"Q205,062.00",7.2,77707,75406,7052,68354
10,10,10,10,10,10,10,10,10,10,4,23/05/23,"Q205,062.00",10,77707,75406,7052,68354
10,9,10,9,10,10,10,10,10,10,4,23/05/23,"Q205,062.00",9.8,77707,75406,7052,68354
7,8,7,6,7,7,8,8,8,8,4,23/05/23,"Q205,062.00",7.4,77707,75406,7052,68354
9,9,10,10,9,9,9,9,10,10,4,23/05/23,"Q205,062.00",9.4,77707,75406,7052,68354
10,10,10,10,9,9,9,9,8,8,4,23/05/23,"Q205,062.00",9.2,77707,75406,7052,68354
10,9,8,7,7,9,8,9,9,9,5,21/04/22,"Q255,507.00",8.5,98795,95848,10679,85169
7,9,7,9,9,9,9,9,9,9,5,21/04/22,"Q255,507.00",8.6,98795,95848,10679,85169
8,9,9,9,9,7,8,8,7,10,5,21/04/22,"Q255,507.00",8.4,98795,95848,10679,85169
10,10,10,10,10,10,10,10,10,10,5,21/04/22,"Q255,507.00",10,98795,95848,10679,85169
6,7,8,8,10,10,10,9,10,10,5,21/04/22,"Q255,507.00",8.8,98795,95848,10679,85169
8,9,10,9,10,9,9,9,9,9,5,21/04/22,"Q255,507.00",9.1,98795,95848,10679,85169
7.8,8,7,8,7,8,8,8,8,8,5,21/04/22,"Q255,507.00",7.78,98795,95848,10679,85169
9,8,8,8,9,9,9,8,8,8,5,21/04/22,"Q255,507.00",8.4,98795,95848,10679,85169
10,9,9,8,8,10,10,10,10,9,5,21/04/22,"Q255,507.00",9.3,98795,95848,10679,85169
4,4,5,5,6,4,8,6,8,8,5,21/04/22,"Q255,507.00",5.8,98795,95848,10679,85169
8,7,8,9,8,9,9,8,9,7,5,21/04/22,"Q255,507.00",8.2,98795,95848,10679,85169
7,8,5,2,5,7,8,9,5,2,5,21/04/22,"Q255,507.00",5.8,98795,95848,10679,85169
7,7,6,7,6,6,7,7,6,7,5,21/04/22,"Q255,507.00",6.6,98795,95848,10679,85169
6,7,8,7,9,10,10,9,8,9,5,21/04/22,"Q255,507.00",8.3,98795,95848,10679,85169
9,8,7,7,8,7,8,10,8,9,5,21/04/22,"Q255,507.00",8.1,98795,95848,10679,85169
7,6,5,6,7,10,9,10,9,7,5,21/04/22,"Q255,507.00",7.6,98795,95848,10679,85169
10,10,9,9,9,9,10,10,10,9,5,21/04/22,"Q255,507.00",9.5,98795,95848,10679,85169
10,10,10,10,9,10,10,10,10,10,5,21/04/22,"Q255,507.00",9.9,98795,95848,10679,85169
10,10,10,10,10,10,10,10,10,10,5,21/04/22,"Q255,507.00",10,98795,95848,10679,85169
8,8,8,8,7,7,7,7,7,7,5,21/04/22,"Q255,507.00",7.4,98795,95848,10679,85169
10,10,10,10,10,10,10,10,10,10,5,21/04/22,"Q255,507.00",10,98795,95848,10679,85169
10,10,10,10,9,10,9,10,9,10,5,21/04/22,"Q255,507.00",9.7,98795,95848,10679,85169
9,9,8,9,9,8,7,7,8,8,5,21/04/22,"Q255,507.00",8.2,98795,95848,10679,85169
9,9,9,9,9,8,8,8,8,8,5,21/04/22,"Q255,507.00",8.5,98795,95848,10679,85169
10,10,9,10,10,10,10,10,10,10,5,21/04/22,"Q255,507.00",9.9,98795,95848,10679,85169
9,9,10,10,10,10,10,10,10,10,5,21/04/22,"Q255,507.00",9.8,98795,95848,10679,85169
9,9,8,8,8,9,8,9,8,8,5,21/04/22,"Q255,507.00",8.4,98795,95848,10679,85169
9,9,9,9,9,8,9,8,9,9,5,21/04/22,"Q255,507.00",8.8,98795,95848,10679,85169
8,8,8,8,8,8,8,8,8,8,5,21/04/22,"Q255,507.00",8,98795,95848,10679,85169
8,9,6,10,9,8,5,6,8,9,6,18/04/23,"Q210,783.00",7.8,79365,77132,6871,70261
9,9,8,8,7,5,9,9,8,8,6,18/04/23,"Q210,783.00",8,79365,77132,6871,70261
7,7,7,8,8,8,7,7,7,7,6,18/04/23,"Q210,783.00",7.3,79365,77132,6871,70261
8.4,8,8,7,6,8,8,7,9,8,6,18/04/23,"Q210,783.00",7.74,79365,77132,6871,70261
8,9,9,9,7,6,9,8,7,8,6,18/04/23,"Q210,783.00",8,79365,77132,6871,70261
10,10,9,9,10,10,9,9,9,10,6,18/04/23,"Q210,783.00",9.5,79365,77132,6871,70261
7,8,7,8,8,8,7,8,7,8,6,18/04/23,"Q210,783.00",7.6,79365,77132,6871,70261
10,10,10,10,10,10,10,10,10,10,6,18/04/23,"Q210,783.00",10,79365,77132,6871,70261
5,4,3,5,5,4,4,3,5,5,6,18/04/23,"Q210,783.00",4.3,79365,77132,6871,70261
10,9,10,10,9,8,10,8,8,10,6,18/04/23,"Q210,783.00",9.2,79365,77132,6871,70261
5,4,5,6,9,7,8,5,4,9,6,18/04/23,"Q210,783.00",6.2,79365,77132,6871,70261
8,9,8,8,7,8,7,8,8,8,6,18/04/23,"Q210,783.00",7.9,79365,77132,6871,70261
9,10,9,10,10,9,8,10,9,9,6,18/04/23,"Q210,783.00",9.3,79365,77132,6871,70261
10,10,10,10,9,10,10,10,10,10,6,18/04/23,"Q210,783.00",9.9,79365,77132,6871,70261
10,10,10,10,10,10,10,10,10,10,6,18/04/23,"Q210,783.00",10,79365,77132,6871,70261
9,8,8,9,8,8,7,7,6,6,6,18/04/23,"Q210,783.00",7.6,79365,77132,6871,70261
10,10,10,10,10,10,10,10,10,10,6,18/04/23,"Q210,783.00",10,79365,77132,6871,70261
10,10,10,10,9,10,10,10,9,10,6,18/04/23,"Q210,783.00",9.8,79365,77132,6871,70261
8.2,9,8,9,9,7,6,7,6,7,6,18/04/23,"Q210,783.00",7.62,79365,77132,6871,70261
9,9,9,9,9,8,8,8,8,8,6,18/04/23,"Q210,783.00",8.5,79365,77132,6871,70261
10,10,10,10,10,10,10,10,10,10,6,18/04/23,"Q210,783.00",10,79365,77132,6871,70261
10,10,10,10,10,10,10,10,10,10,6,18/04/23,"Q210,783.00",10,79365,77132,6871,70261
8,7,8,7,7,8,7,7,8,8,6,18/04/23,"Q210,783.00",7.5,79365,77132,6871,70261
9,9,9,9,9,10,10,9,10,10,6,18/04/23,"Q210,783.00",9.4,79365,77132,6871,70261
9,10,10,9,9,9,8,8,8,8,6,18/04/23,"Q210,783.00",8.8,79365,77132,6871,70261
8,7,7,7,6,6,6,7,7,7,7,17/10/23,"Q180,492.00",6.8,71485,69371,9207,60164
7.4,7,7,7,7,7,7,8,8,8,7,17/10/23,"Q180,492.00",7.34,71485,69371,9207,60164
8,7,8,7,7,8,6,8,6,6,7,17/10/23,"Q180,492.00",7.1,71485,69371,9207,60164
9,9,8,9,10,9,9,8,8,10,7,17/10/23,"Q180,492.00",8.9,71485,69371,9207,60164
7,8,7,8,7,6,9,8,8,8,7,17/10/23,"Q180,492.00",7.6,71485,69371,9207,60164
9,8,10,9,9,10,10,8,9,9,7,17/10/23,"Q180,492.00",9.1,71485,69371,9207,60164
10,9,10,10,9,10,10,9,9,10,7,17/10/23,"Q180,492.00",9.6,71485,69371,9207,60164
8.6,9,8,8,8,10,10,8,9,9,7,17/10/23,"Q180,492.00",8.76,71485,69371,9207,60164
8,6,8,8,7,7,10,9,10,10,7,17/10/23,"Q180,492.00",8.3,71485,69371,9207,60164
8,8,8,8,7,9,8,8,8,8,7,17/10/23,"Q180,492.00",8,71485,69371,9207,60164
10,10,10,10,10,10,10,10,10,10,7,17/10/23,"Q180,492.00",10,71485,69371,9207,60164
10,10,10,10,10,10,10,10,10,10,7,17/10/23,"Q180,492.00",10,71485,69371,9207,60164
9,9,8,9,8,9,8,8,8,8,7,17/10/23,"Q180,492.00",8.4,71485,69371,9207,60164
10,10,10,10,10,10,10,10,10,10,7,17/10/23,"Q180,492.00",10,71485,69371,9207,60164
10,9,10,10,10,9,10,10,10,10,7,17/10/23,"Q180,492.00",9.8,71485,69371,9207,60164
7.6,7,7,7,7,7,7,7,7,7,7,17/10/23,"Q180,492.00",7.06,71485,69371,9207,60164
9,9,8,9,9,9,8,8,8,8,7,17/10/23,"Q180,492.00",8.5,71485,69371,9207,60164
10,10,10,10,10,10,10,10,10,10,7,17/10/23,"Q180,492.00",10,71485,69371,9207,60164
9,10,10,10,10,10,10,10,10,10,7,17/10/23,"Q180,492.00",9.9,71485,69371,9207,60164
8,9,8,7,8,8,7,8,7,9,7,17/10/23,"Q180,492.00",7.9,71485,69371,9207,60164
9,9,9,10,9,9,9,9,9,9,7,17/10/23,"Q180,492.00",9.1,71485,69371,9207,60164
10,10,9,9,9,9,9,9,9,9,7,17/10/23,"Q180,492.00",9.2,71485,69371,9207,60164
7,7,7,6,7,7,7,7,7,7,8,15/04/24,"Q194,736.00",6.9,74304,71772,6860,64912
8,8,9,9,8,9,9,9,9,9,8,15/04/24,"Q194,736.00",8.7,74304,71772,6860,64912
8,8,8,8,8,6,7,6,7,8,8,15/04/24,"Q194,736.00",7.4,74304,71772,6860,64912
9,9,9,8,9,9,9,9,9,9,8,15/04/24,"Q194,736.00",8.9,74304,71772,6860,64912
8,9,9,8,8,5,8,8,9,8,8,15/04/24,"Q194,736.00",8,74304,71772,6860,64912
9,8,10,7,9,9,8,9,10,10,8,15/04/24,"Q194,736.00",8.9,74304,71772,6860,64912
9,8,8,8,9,8,9,8,8,9,8,15/04/24,"Q194,736.00",8.4,74304,71772,6860,64912
9,10,8,7,8,9,8,7,8,8,8,15/04/24,"Q194,736.00",8.2,74304,71772,6860,64912
8,7,9,6,5,7,8,7,9,7,8,15/04/24,"Q194,736.00",7.3,74304,71772,6860,64912
9,8,8,9,9,9,9,8,9,9,8,15/04/24,"Q194,736.00",8.7,74304,71772,6860,64912
8,8,10,8,9,10,10,8,10,8,8,15/04/24,"Q194,736.00",8.9,74304,71772,6860,64912
10,9,10,9,9,10,10,10,10,10,8,15/04/24,"Q194,736.00",9.7,74304,71772,6860,64912
7,8,7,8,7,8,8,8,8,8,8,15/04/24,"Q194,736.00",7.7,74304,71772,6860,64912
10,10,10,10,10,10,10,10,10,10,8,15/04/24,"Q194,736.00",10,74304,71772,6860,64912
10,10,10,10,10,10,10,10,10,10,8,15/04/24,"Q194,736.00",10,74304,71772,6860,64912
7,7,7,6,6,6,6,6,6,7,8,15/04/24,"Q194,736.00",6.4,74304,71772,6860,64912
10,10,10,10,10,10,10,10,10,10,8,15/04/24,"Q194,736.00",10,74304,71772,6860,64912
10,10,9,10,10,10,9,10,10,10,8,15/04/24,"Q194,736.00",9.8,74304,71772,6860,64912
7.4,7,7,7,7,7,7,7,7,7,8,15/04/24,"Q194,736.00",7.04,74304,71772,6860,64912
8,8,8,8,8,9,8,8,8,8,8,15/04/24,"Q194,736.00",8.1,74304,71772,6860,64912
10,10,10,10,10,10,10,10,10,10,8,15/04/24,"Q194,736.00",10,74304,71772,6860,64912
10,10,10,10,10,10,10,10,10,10,8,15/04/24,"Q194,736.00",10,74304,71772,6860,64912
8,9,8,8,9,8,7,7,7,7,8,15/04/24,"Q194,736.00",7.8,74304,71772,6860,64912
10,9,9,10,9,9,9,9,10,10,8,15/04/24,"Q194,736.00",9.4,74304,71772,6860,64912
8,8,8,8,8,8,8,8,8,8,8,15/04/24,"Q194,736.00",8,74304,71772,6860,64912
7.4,7,4,6,7,9,5,7,8,7,9,14/02/24,"Q158,850.00",6.74,65225,63051,10101,52950
9,9,7,8,7,10,9,8,9,7,9,14/02/24,"Q158,850.00",8.3,65225,63051,10101,52950
10,10,8,7,8,8,7,8,7,8,9,14/02/24,"Q158,850.00",8.1,65225,63051,10101,52950
7,8,8,7,9,9,7,8,7,8,9,14/02/24,"Q158,850.00",7.8,65225,63051,10101,52950
8,9,8,8,8,10,10,9,9,9,9,14/02/24,"Q158,850.00",8.8,65225,63051,10101,52950
10,10,10,9,10,9,9,10,8,9,9,14/02/24,"Q158,850.00",9.4,65225,63051,10101,52950
10,9,10,8,9,8,10,9,8,8,9,14/02/24,"Q158,850.00",8.9,65225,63051,10101,52950
10,5,9,6,7,8,8,8,9,10,9,14/02/24,"Q158,850.00",8,65225,63051,10101,52950
10,10,10,10,10,10,10,10,10,10,9,14/02/24,"Q158,850.00",10,65225,63051,10101,52950
8,8,9,9,9,9,9,9,9,8,9,14/02/24,"Q158,850.00",8.7,65225,63051,10101,52950
6,6,7,8,8,7,7,7,8,8,9,14/02/24,"Q158,850.00",7.2,65225,63051,10101,52950
10,8,10,9,7,7,10,10,10,10,9,14/02/24,"Q158,850.00",9.1,65225,63051,10101,52950
7,7,8,8,7,8,8,7,8,7,9,14/02/24,"Q158,850.00",7.5,65225,63051,10101,52950
5,8,4,7,8,5,7,7,7,6,9,14/02/24,"Q158,850.00",6.4,65225,63051,10101,52950
8,9,9,8,9,8,9,9,9,9,9,14/02/24,"Q158,850.00",8.7,65225,63051,10101,52950
8,6,8,8,7,7,10,9,10,10,9,14/02/24,"Q158,850.00",8.3,65225,63051,10101,52950
8,8,8,8,8,8,8,8,8,8,9,14/02/24,"Q158,850.00",8,65225,63051,10101,52950
10,9,10,10,9,9,10,10,10,10,9,14/02/24,"Q158,850.00",9.7,65225,63051,10101,52950
10,10,10,10,10,10,10,10,10,10,9,14/02/24,"Q158,850.00",10,65225,63051,10101,52950
9,8,8,8,8,8,8,8,8,8,9,14/02/24,"Q158,850.00",8.1,65225,63051,10101,52950
10,10,10,10,10,10,10,10,10,10,9,14/02/24,"Q158,850.00",10,65225,63051,10101,52950
10,10,10,9,8,10,10,10,10,10,9,14/02/24,"Q158,850.00",9.7,65225,63051,10101,52950
8,7,7,6,6,7,7,7,7,7,9,14/02/24,"Q158,850.00",6.9,65225,63051,10101,52950
8,8,9,9,8,9,9,9,9,9,9,14/02/24,"Q158,850.00",8.7,65225,63051,10101,52950
10,10,10,10,10,9,10,10,10,10,9,14/02/24,"Q158,850.00",9.9,65225,63051,10101,52950
10,10,10,10,10,10,10,10,10,10,9,14/02/24,"Q158,850.00",10,65225,63051,10101,52950
8,7,7,8,7,8,7,6,6,7,9,14/02/24,"Q158,850.00",7.1,65225,63051,10101,52950
10,10,10,10,9,9,9,9,10,10,9,14/02/24,"Q158,850.00",9.6,65225,63051,10101,52950
10,10,10,10,10,10,10,10,10,10,9,14/02/24,"Q158,850.00",10,65225,63051,10101,52950
10,10,10,8,10,10,9,10,10,10,10,13/03/24,"Q187,530.00",9.7,82963,80534,18024,62510
9,10,7,5,4,6,8,10,9,3,10,13/03/24,"Q187,530.00",7.1,82963,80534,18024,62510
8,7,7,8,9,9,6,7,7,5,10,13/03/24,"Q187,530.00",7.3,82963,80534,18024,62510
9,9,9,10,10,9,8,8,9,9,10,13/03/24,"Q187,530.00",9,82963,80534,18024,62510
6,6,7,6,6,6,7,8,8,8,10,13/03/24,"Q187,530.00",6.8,82963,80534,18024,62510
9,8,7,8,8,9,9,9,10,9,10,13/03/24,"Q187,530.00",8.6,82963,80534,18024,62510
9,10,9,9,8,9,9,8,10,9,10,13/03/24,"Q187,530.00",9,82963,80534,18024,62510
10,10,10,10,10,10,10,10,10,10,10,13/03/24,"Q187,530.00",10,82963,80534,18024,62510
10,9,10,10,9,10,10,10,10,10,10,13/03/24,"Q187,530.00",9.8,82963,80534,18024,62510
8,8,8,8,8,7,7,7,7,8,10,13/03/24,"Q187,530.00",7.6,82963,80534,18024,62510
10,10,10,10,10,10,10,10,10,10,10,13/03/24,"Q187,530.00",10,82963,80534,18024,62510
10,10,10,9,9,10,10,10,10,8,10,13/03/24,"Q187,530.00",9.6,82963,80534,18024,62510
8,9,7,7,7,8,8,8,8,8,10,13/03/24,"Q187,530.00",7.8,82963,80534,18024,62510
7,8,7,7,8,8,8,8,8,8,10,13/03/24,"Q187,530.00",7.7,82963,80534,18024,62510
10,10,10,10,10,9,9,10,10,10,10,13/03/24,"Q187,530.00",9.8,82963,80534,18024,62510
10,10,10,10,9,9,10,10,10,10,10,13/03/24,"Q187,530.00",9.8,82963,80534,18024,62510
8,7,8,7,7,7,6,7,6,7,10,13/03/24,"Q187,530.00",7,82963,80534,18024,62510
9,9,9,9,9,9,10,9,10,9,10,13/03/24,"Q187,530.00",9.2,82963,80534,18024,62510
8,8,8,8,8,8,8,8,8,8,10,13/03/24,"Q187,530.00",8,82963,80534,18024,62510
7,6,6,6,5,5,7,7,6,6,11,12/6/23,"Q220,542.00",6.1,83618,81245,7731,73514
10,10,8,8,9,10,10,10,10,10,11,12/6/23,"Q220,542.00",9.5,83618,81245,7731,73514
6,5,6,8,8,10,9,9,10,10,11,12/6/23,"Q220,542.00",8.1,83618,81245,7731,73514
7.8,8,8,7,8,8,8,8,8,8,11,12/6/23,"Q220,542.00",7.88,83618,81245,7731,73514
8,8,9,9,8,4,6,8,8,8,11,12/6/23,"Q220,542.00",7.6,83618,81245,7731,73514
9,6,8,8,7,5,6,8,8,8,11,12/6/23,"Q220,542.00",7.3,83618,81245,7731,73514
8,8,9,8,9,9,9,8,7,8,11,12/6/23,"Q220,542.00",8.3,83618,81245,7731,73514
7,7,8,8,7,8,8,7,8,7,11,12/6/23,"Q220,542.00",7.5,83618,81245,7731,73514
9,9,10,10,9,10,10,9,10,10,11,12/6/23,"Q220,542.00",9.6,83618,81245,7731,73514
10,10,10,10,10,10,10,10,10,10,11,12/6/23,"Q220,542.00",10,83618,81245,7731,73514
10,10,10,10,10,10,10,10,10,10,11,12/6/23,"Q220,542.00",10,83618,81245,7731,73514
8,8,8,7,8,8,8,8,8,8,11,12/6/23,"Q220,542.00",7.9,83618,81245,7731,73514
10,10,10,10,10,10,10,10,10,10,11,12/6/23,"Q220,542.00",10,83618,81245,7731,73514
9,10,10,8,9,9,9,10,10,11,11,12/6/23,"Q220,542.00",9.5,83618,81245,7731,73514
9,9,7,9,9,8,8,8,8,8,11,12/6/23,"Q220,542.00",8.3,83618,81245,7731,73514
8,8,7,8,8,9,8,8,8,8,11,12/6/23,"Q220,542.00",8,83618,81245,7731,73514
10,10,10,10,10,10,10,10,10,10,11,12/6/23,"Q220,542.00",10,83618,81245,7731,73514
10,10,10,10,10,10,10,10,10,10,11,12/6/23,"Q220,542.00",10,83618,81245,7731,73514
8,7,7,8,8,7,6,6,7,7,11,12/6/23,"Q220,542.00",7.1,83618,81245,7731,73514
9,9,9,10,9,9,10,9,9,9,11,12/6/23,"Q220,542.00",9.2,83618,81245,7731,73514
9,9,9,9,9,9,9,9,9,9,11,12/6/23,"Q220,542.00",9,83618,81245,7731,73514
10,9,9,9,9,9,9,9,9,9,12,12/4/24,"Q186,954.00",9.1,77845,74020,11702,62318
7.4,6,8,8,8,10,9,7,10,8,12,12/4/24,"Q186,954.00",8.14,77845,74020,11702,62318
10,10,10,10,10,10,10,10,10,10,12,12/4/24,"Q186,954.00",10,77845,74020,11702,62318
9,7,5,8,2,6,4,3,1,10,12,12/4/24,"Q186,954.00",5.5,77845,74020,11702,62318
8,8,6,7,8,9,9,7,7,7,12,12/4/24,"Q186,954.00",7.6,77845,74020,11702,62318
10,9,7,9,8,8,10,10,9,8,12,12/4/24,"Q186,954.00",8.8,77845,74020,11702,62318
8,7,9,8,8,7,8,8,8,8,12,12/4/24,"Q186,954.00",7.9,77845,74020,11702,62318
6,7,9,7,8,8,8,7,8,8,12,12/4/24,"Q186,954.00",7.6,77845,74020,11702,62318
8,7,8,8,9,9,8,7,9,8,12,12/4/24,"Q186,954.00",8.1,77845,74020,11702,62318
10,9,10,10,9,9,10,10,10,10,12,12/4/24,"Q186,954.00",9.7,77845,74020,11702,62318
10,9,10,10,10,10,10,10,10,10,12,12/4/24,"Q186,954.00",9.9,77845,74020,11702,62318
9,9,9,9,9,9,8,8,8,8,12,12/4/24,"Q186,954.00",8.6,77845,74020,11702,62318
10,10,10,10,10,10,10,10,10,10,12,12/4/24,"Q186,954.00",10,77845,74020,11702,62318
10,10,10,10,10,10,9,9,10,10,12,12/4/24,"Q186,954.00",9.8,77845,74020,11702,62318
8,8,8,8,8,8,8,8,8,8,12,12/4/24,"Q186,954.00",8,77845,74020,11702,62318
9,9,9,9,9,9,9,9,9,9,12,12/4/24,"Q186,954.00",9,77845,74020,11702,62318
10,10,10,10,9,10,10,10,10,10,12,12/4/24,"Q186,954.00",9.9,77845,74020,11702,62318
9,9,10,10,10,10,10,10,10,10,12,12/4/24,"Q186,954.00",9.8,77845,74020,11702,62318
8,8,7,8,8,8,7,7,8,7,12,12/4/24,"Q186,954.00",7.6,77845,74020,11702,62318
9,9,9,9,8,9,8,8,9,9,12,12/4/24,"Q186,954.00",8.7,77845,74020,11702,62318
