fecha,Internacional_count,Nacional_count,paginas_totales,proporcion_total,proporcion_ajustada,deportes,estrellas,familia,internacional_x,loteria,modelo_x,noticias,opinion,publicidad externa,publicidad interna,reportajes,variedades,chipi_presente,deportes_seccion,estrellas_seccion,familia_seccion,internacional_seccion,loteria_seccion,modelo_seccion,noticias_seccion,opinion_seccion,publicidad externa_seccion,publicidad interna_seccion,reportajes_seccion,variedades_seccion,year,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional_y,modelo_portada,especial,publicidad,modelo_y,palabras_titulo,palabras_st,envio_total,cobrable,devuelto,vendido
2022-01-27,5.0,0.0,23.0,1260.0,54.78,3.2,2.0,2.5,3.5,0.0,0.0,4.29,1.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,2.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,2022.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,99385.0,96991.0,6911.0,90080.0
2022-01-28,5.0,0.0,24.0,1400.0,58.33,2.8,4.33,2.0,4.0,0.0,0.0,4.62,1.5,0.0,0.0,0.0,2.33,0.0,5.0,3.0,2.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,2022.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,11.0,99483.0,97078.0,6716.0,90362.0
2022-01-29,3.4,2.6,27.4,1476.0,53.74,2.9,4.07,1.8,2.83,0.0,0.0,4.11,1.2,0.8,0.0,1.3,2.43,0.6,6.0,2.4,2.4,2.6,0.2,0.0,8.4,1.6,0.4,0.0,0.8,2.6,2022.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,11.0,98130.0,94126.0,9611.0,84515.0
2022-01-30,4.0,2.0,26.0,1450.0,55.77,2.5,3.0,3.67,4.0,0.0,0.0,5.0,1.5,0.0,0.0,0.0,3.0,0.0,6.0,3.0,3.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,2.0,2022.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,100716.0,98869.0,5623.0,93246.0
2022-01-31,3.0,4.0,29.0,1790.0,61.72,4.14,5.5,1.67,3.0,0.0,0.0,5.75,1.5,0.0,0.0,2.5,3.33,1.0,7.0,2.0,3.0,1.0,1.0,0.0,8.0,2.0,0.0,0.0,2.0,3.0,2022.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,11.0,104462.0,102073.0,3408.0,98665.0
2022-02-01,2.0,3.0,26.0,1370.0,52.69,2.4,3.5,2.67,3.0,0.0,0.0,3.55,0.5,0.0,0.0,0.0,2.0,1.0,5.0,2.0,3.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,2.0,2022.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,13.0,96846.0,94478.0,18766.0,75712.0
2022-02-02,3.0,2.0,23.0,1610.0,70.0,3.4,2.5,2.67,4.0,0.0,0.0,4.62,2.5,0.0,0.0,0.0,4.0,1.0,5.0,2.0,3.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,2.0,2022.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,10.0,96935.0,94536.0,12821.0,81715.0
2022-02-03,5.0,6.0,30.0,1880.0,62.67,3.91,3.33,2.5,3.0,0.0,0.0,3.88,2.5,0.0,0.0,0.0,3.0,1.0,11.0,3.0,2.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,2022.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,8.0,97679.0,95284.0,8197.0,87087.0
2022-02-04,3.0,0.0,20.0,950.0,47.5,2.67,3.0,2.25,3.0,0.0,0.0,4.86,1.0,0.0,0.0,0.0,3.5,0.0,3.0,2.0,4.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,2022.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,11.0,97506.0,95126.0,6874.0,88252.0
2022-02-05,3.8,2.6,25.0,1396.0,56.06,3.58,3.5,2.93,3.3,0.0,0.4,3.88,1.5,0.0,0.4,1.6,2.33,0.4,6.0,2.4,3.2,1.4,0.0,0.2,6.6,1.8,0.0,0.2,0.6,2.6,2022.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,16.0,97256.0,93422.0,8161.0,85261.0
2022-02-06,4.0,2.0,23.0,1320.0,57.39,2.8,3.0,5.0,4.5,0.0,0.0,4.29,1.5,0.0,0.0,0.0,2.0,0.0,5.0,2.0,3.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,2022.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,11.0,101380.0,99543.0,7789.0,91754.0
