id,fecha,day,month,year,region,titulo,subtitular,cant_notas,politica,roja,deporte,accidente,comunitaria,nacionales,internacional,modelo_portada,especial,publicidad,contraportada,modelo,palabras_titulo,palabras_st,envio_total,cobrable,devuelto,vendido
042222nacional,22/04/2022,Friday,April,2022,nacional,muere por visitar a su novia,joven fue advertido antes de semana santa de que no llegara a el limon zona 18,3,0,1,0,0,0,1,1,0,0,0,internacional,1,6,16,97084,93371,7887,85484
042322nacional,23/04/2022,Saturday,April,2022,nacional,querian vender nino en q500,capturadas compradora y vendedora de menor,4,0,4,0,0,0,0,0,0,0,0,modelo,1,5,6,99639,97652,10261,87391
042422nacional,24/04/2022,Sunday,April,2022,nacional,encuentran muerto a exabogado de pappa,estaba en su celda se sospecha que fue por sobredosis de drogas,3,0,1,0,0,1,1,0,0,0,0,internacional,0,6,12,98957,97060,7313,89747
042522nacional,25/04/2022,Monday,April,2022,nacional,torturaban a nino,madre y su pareja van a la carcel mientras menor se recupera en hospital,3,0,3,0,0,0,0,0,0,0,0,publicidad externa,1,3,14,102228,99752,6825,92927
042622nacional,26/04/2022,Tuesday,April,2022,nacional,asesinada mientras preparaba cena,encapuchados matan a madre de familia en su cocina,3,0,2,0,0,0,1,0,0,0,0,internacional,1,4,9,95580,92820,7878,84942
042722nacional,27/04/2022,Wednesday,April,2022,nacional,lo desnudan por extorsionar,pobladores entregan a la policia a joven que exigio dinero para no publicar fotos intimas de mujer,3,0,1,0,0,1,1,0,0,0,0,internacional,1,4,17,95714,93228,8461,84767
042822nacional,28/04/2022,Thursday,April,2022,nacional,camino a la nueva normalidad,permiten regreso a clases fortalecer reactivacion economica actividades sociales y uso estricto de mascarilla solo en municipios en rojo,4,0,0,1,0,0,3,0,0,0,0,internacional,1,5,19,97598,95148,11236,83912
042922nacional,29/04/2022,Friday,April,2022,nacional,extorsionaba y hacia brujeria,detienen a banda encabezada por exintegrante de barrio 18 que amenzaba a comerciantes y transportistas,3,0,0,0,2,0,1,0,0,0,0,deporte,1,4,15,97187,92916,4861,88055
043022nacional,30/04/2022,Saturday,April,2022,nacional,rescatada despues de un mes,bebe fue robada en mixco y ubicada en mexico,3,0,1,0,1,0,1,0,0,0,0,modelo,1,5,9,96966,95015,3204,91811
050122nacional,01/05/2022,Sunday,May,2022,nacional,turba evita violacion de nina,la amenazaba con un desarmador para llevarsela,3,0,0,1,0,2,0,0,0,0,0,publicidad externa,1,5,7,98364,96476,15409,81067
